step,m,time
1,2,7
1,2,7
1,2,7
1,2,8
1,2,5
1,2,10
1,2,8
1,2,9
1,2,7
1,2,8
1,2,8
1,2,8
1,2,7
1,2,7
1,2,8
1,2,7
1,2,7
1,2,8
1,2,8
1,2,7
1,2,8
1,2,8
1,2,8
1,2,8
1,2,7
1,2,12
1,2,8
1,2,8
1,2,7
1,2,8
1,2,8
1,2,8
1,2,8
1,2,8
1,2,7
1,2,7
1,2,7
1,2,8
1,2,7
1,2,8
1,2,8
1,2,7
1,2,8
1,2,8
1,2,8
1,2,9
1,2,8
1,2,8
1,2,8
1,2,8
1,2,8
1,2,7
1,2,7
1,2,7
1,2,8
1,2,8
1,2,8
1,2,8
1,2,8
1,2,7
1,2,7
1,2,8
1,2,7
1,2,7
1,2,7
1,2,7
1,2,8
1,2,7
1,2,8
1,2,8
1,2,7
1,2,8
1,2,7
1,2,7
1,2,7
1,2,8
1,2,8
1,2,8
1,2,7
1,2,8
1,2,7
1,2,8
1,2,8
1,2,8
1,2,7
1,2,7
1,2,8
1,2,10
1,2,9
1,2,7
1,2,8
1,2,8
1,2,9
1,2,8
1,2,6
1,2,8
1,2,8
1,2,8
1,2,7
1,2,7
1,4,11
1,4,12
1,4,14
1,4,13
1,4,12
1,4,12
1,4,11
1,4,14
1,4,13
1,4,13
1,4,13
1,4,12
1,4,13
1,4,12
1,4,11
1,4,12
1,4,13
1,4,12
1,4,12
1,4,12
1,4,13
1,4,14
1,4,12
1,4,12
1,4,13
1,4,13
1,4,11
1,4,13
1,4,12
1,4,13
1,4,11
1,4,11
1,4,13
1,4,11
1,4,13
1,4,12
1,4,12
1,4,11
1,4,12
1,4,11
1,4,12
1,4,13
1,4,14
1,4,11
1,4,11
1,4,12
1,4,13
1,4,12
1,4,12
1,4,11
1,4,13
1,4,13
1,4,14
1,4,11
1,4,12
1,4,11
1,4,13
1,4,13
1,4,12
1,4,13
1,4,12
1,4,16
1,4,14
1,4,11
1,4,22
1,4,13
1,4,11
1,4,13
1,4,13
1,4,13
1,4,13
1,4,12
1,4,11
1,4,14
1,4,12
1,4,14
1,4,11
1,4,12
1,4,12
1,4,13
1,4,13
1,4,12
1,4,12
1,4,13
1,4,23
1,4,12
1,4,14
1,4,13
1,4,13
1,4,13
1,4,13
1,4,12
1,4,13
1,4,12
1,4,11
1,4,13
1,4,13
1,4,13
1,4,12
1,4,13
1,8,20
1,8,21
1,8,20
1,8,20
1,8,21
1,8,20
1,8,22
1,8,46
1,8,25
1,8,23
1,8,20
1,8,19
1,8,22
1,8,21
1,8,19
1,8,21
1,8,20
1,8,20
1,8,21
1,8,20
1,8,21
1,8,19
1,8,27
1,8,19
1,8,21
1,8,67
1,8,44
1,8,35
1,8,28
1,8,39
1,8,27
1,8,25
1,8,22
1,8,21
1,8,20
1,8,19
1,8,19
1,8,22
1,8,19
1,8,22
1,8,21
1,8,22
1,8,19
1,8,20
1,8,21
1,8,21
1,8,22
1,8,20
1,8,19
1,8,29
1,8,19
1,8,19
1,8,22
1,8,22
1,8,19
1,8,19
1,8,32
1,8,19
1,8,20
1,8,23
1,8,19
1,8,21
1,8,21
1,8,21
1,8,19
1,8,18
1,8,23
1,8,20
1,8,21
1,8,19
1,8,20
1,8,20
1,8,21
1,8,20
1,8,21
1,8,23
1,8,22
1,8,21
1,8,20
1,8,19
1,8,21
1,8,19
1,8,24
1,8,17
1,8,21
1,8,21
1,8,21
1,8,23
1,8,25
1,8,20
1,8,21
1,8,20
1,8,19
1,8,20
1,8,20
1,8,20
1,8,21
1,8,17
1,8,19
1,8,21
1,16,38
1,16,35
1,16,36
1,16,40
1,16,35
1,16,34
1,16,43
1,16,41
1,16,39
1,16,34
1,16,35
1,16,35
1,16,35
1,16,33
1,16,36
1,16,36
1,16,34
1,16,34
1,16,34
1,16,36
1,16,36
1,16,40
1,16,37
1,16,34
1,16,37
1,16,34
1,16,34
1,16,36
1,16,36
1,16,36
1,16,36
1,16,35
1,16,36
1,16,35
1,16,37
1,16,38
1,16,36
1,16,34
1,16,36
1,16,38
1,16,40
1,16,35
1,16,36
1,16,34
1,16,33
1,16,36
1,16,40
1,16,45
1,16,33
1,16,38
1,16,41
1,16,34
1,16,35
1,16,31
1,16,41
1,16,35
1,16,38
1,16,37
1,16,34
1,16,34
1,16,35
1,16,33
1,16,35
1,16,36
1,16,35
1,16,36
1,16,36
1,16,35
1,16,40
1,16,35
1,16,37
1,16,34
1,16,38
1,16,35
1,16,37
1,16,34
1,16,35
1,16,37
1,16,36
1,16,41
1,16,36
1,16,37
1,16,35
1,16,34
1,16,38
1,16,35
1,16,35
1,16,35
1,16,35
1,16,36
1,16,34
1,16,38
1,16,37
1,16,38
1,16,36
1,16,35
1,16,37
1,16,35
1,16,37
1,16,36
1,32,66
1,32,69
1,32,84
1,32,71
1,32,66
1,32,65
1,32,68
1,32,65
1,32,67
1,32,68
1,32,70
1,32,66
1,32,66
1,32,65
1,32,66
1,32,67
1,32,66
1,32,78
1,32,70
1,32,66
1,32,65
1,32,67
1,32,68
1,32,65
1,32,67
1,32,66
1,32,80
1,32,65
1,32,69
1,32,64
1,32,72
1,32,77
1,32,64
1,32,63
1,32,65
1,32,70
1,32,63
1,32,73
1,32,67
1,32,74
1,32,67
1,32,67
1,32,85
1,32,67
1,32,66
1,32,64
1,32,66
1,32,63
1,32,68
1,32,67
1,32,62
1,32,65
1,32,72
1,32,70
1,32,64
1,32,65
1,32,67
1,32,65
1,32,65
1,32,62
1,32,64
1,32,75
1,32,63
1,32,66
1,32,64
1,32,65
1,32,65
1,32,66
1,32,63
1,32,64
1,32,61
1,32,65
1,32,67
1,32,64
1,32,69
1,32,64
1,32,65
1,32,68
1,32,71
1,32,65
1,32,68
1,32,62
1,32,63
1,32,64
1,32,66
1,32,66
1,32,66
1,32,67
1,32,70
1,32,65
1,32,83
1,32,66
1,32,63
1,32,69
1,32,66
1,32,63
1,32,63
1,32,67
1,32,64
1,32,68
1,64,124
1,64,149
1,64,144
1,64,123
1,64,125
1,64,123
1,64,123
1,64,120
1,64,123
1,64,131
1,64,120
1,64,121
1,64,123
1,64,124
1,64,120
1,64,123
1,64,118
1,64,123
1,64,117
1,64,123
1,64,122
1,64,118
1,64,118
1,64,121
1,64,116
1,64,128
1,64,125
1,64,118
1,64,124
1,64,125
1,64,122
1,64,121
1,64,122
1,64,132
1,64,128
1,64,118
1,64,125
1,64,116
1,64,113
1,64,118
1,64,125
1,64,124
1,64,125
1,64,117
1,64,126
1,64,121
1,64,122
1,64,121
1,64,115
1,64,123
1,64,122
1,64,126
1,64,121
1,64,123
1,64,125
1,64,125
1,64,121
1,64,122
1,64,122
1,64,118
