step,m,time
1,2,7
1,2,6
1,2,8
1,2,6
1,2,5
1,2,6
1,2,6
1,2,7
1,2,6
1,2,5
1,2,6
1,2,7
1,2,8
1,2,6
1,2,5
1,2,5
1,2,5
1,2,7
1,2,6
1,2,7
1,2,8
1,2,7
1,2,7
1,2,6
1,2,6
1,2,7
1,2,5
1,2,7
1,2,7
1,2,6
1,2,7
1,2,6
1,2,6
1,2,7
1,2,6
1,2,7
1,2,7
1,2,8
1,2,7
1,2,6
1,2,8
1,2,8
1,2,6
1,2,7
1,2,8
1,2,7
1,2,6
1,2,6
1,2,6
1,2,5
1,2,7
1,2,8
1,2,7
1,2,7
1,2,6
1,2,8
1,2,6
1,2,6
1,2,7
1,2,8
1,2,4
1,2,7
1,2,5
1,2,6
1,2,6
1,2,7
1,2,5
1,2,6
1,2,8
1,2,6
1,2,6
1,2,5
1,2,6
1,2,6
1,2,6
1,2,8
1,2,7
1,2,7
1,2,8
1,2,8
1,2,9
1,2,6
1,2,8
1,2,10
1,2,6
1,2,9
1,2,6
1,2,5
1,2,8
1,2,6
1,2,5
1,2,7
1,2,5
1,2,7
1,2,8
1,2,8
1,2,5
1,2,6
1,2,6
1,2,6
1,4,14
1,4,10
1,4,9
1,4,9
1,4,11
1,4,12
1,4,9
1,4,11
1,4,10
1,4,9
1,4,12
1,4,9
1,4,12
1,4,10
1,4,10
1,4,10
1,4,11
1,4,12
1,4,10
1,4,11
1,4,11
1,4,11
1,4,10
1,4,12
1,4,12
1,4,12
1,4,11
1,4,11
1,4,11
1,4,10
1,4,10
1,4,9
1,4,11
1,4,10
1,4,11
1,4,12
1,4,10
1,4,11
1,4,12
1,4,12
1,4,9
1,4,12
1,4,9
1,4,12
1,4,10
1,4,11
1,4,10
1,4,10
1,4,10
1,4,11
1,4,13
1,4,11
1,4,10
1,4,12
1,4,10
1,4,12
1,4,13
1,4,11
1,4,10
1,4,11
1,4,9
1,4,10
1,4,9
1,4,9
1,4,9
1,4,11
1,4,9
1,4,11
1,4,10
1,4,11
1,4,9
1,4,11
1,4,12
1,4,9
1,4,11
1,4,9
1,4,10
1,4,10
1,4,9
1,4,9
1,4,9
1,4,9
1,4,10
1,4,12
1,4,11
1,4,10
1,4,10
1,4,8
1,4,9
1,4,13
1,4,8
1,4,10
1,4,9
1,4,11
1,4,9
1,4,10
1,4,11
1,4,10
1,4,10
1,4,9
1,8,18
1,8,23
1,8,16
1,8,18
1,8,18
1,8,17
1,8,17
1,8,18
1,8,17
1,8,18
1,8,16
1,8,18
1,8,17
1,8,20
1,8,14
1,8,16
1,8,17
1,8,18
1,8,15
1,8,16
1,8,18
1,8,16
1,8,16
1,8,16
1,8,16
1,8,17
1,8,23
1,8,18
1,8,18
1,8,18
1,8,17
1,8,19
1,8,16
1,8,16
1,8,18
1,8,18
1,8,17
1,8,17
1,8,18
1,8,22
1,8,19
1,8,48
1,8,18
1,8,16
1,8,16
1,8,16
1,8,16
1,8,14
1,8,16
1,8,17
1,8,15
1,8,16
1,8,18
1,8,17
1,8,18
1,8,15
1,8,17
1,8,17
1,8,18
1,8,17
1,8,19
1,8,16
1,8,18
1,8,17
1,8,17
1,8,19
1,8,18
1,8,15
1,8,12
1,8,15
1,8,17
1,8,18
1,8,19
1,8,19
1,8,20
1,8,21
1,8,28
1,8,18
1,8,18
1,8,17
1,8,17
1,8,19
1,8,18
1,8,20
1,8,20
1,8,16
1,8,18
1,8,16
1,8,16
1,8,17
1,8,16
1,8,20
1,8,18
1,8,17
1,8,18
1,8,21
1,8,16
1,8,18
1,8,19
1,8,17
1,16,32
1,16,38
1,16,33
1,16,28
1,16,39
1,16,31
1,16,27
1,16,31
1,16,24
1,16,56
1,16,33
1,16,31
1,16,29
1,16,32
1,16,31
1,16,27
1,16,33
1,16,33
1,16,30
1,16,27
1,16,28
1,16,38
1,16,27
1,16,30
1,16,27
1,16,36
1,16,28
1,16,28
1,16,32
1,16,29
1,16,30
1,16,31
1,16,33
1,16,31
1,16,33
1,16,31
1,16,29
1,16,33
1,16,38
1,16,34
1,16,35
1,16,32
1,16,29
1,16,33
1,16,47
1,16,25
1,16,36
1,16,47
1,16,30
1,16,31
1,16,28
1,16,31
1,16,29
1,16,26
1,16,31
1,16,27
1,16,29
1,16,29
1,16,32
1,16,34
1,16,46
1,16,31
1,16,25
1,16,29
1,16,30
1,16,29
1,16,28
1,16,30
1,16,28
1,16,33
1,16,33
1,16,39
1,16,33
1,16,29
1,16,29
1,16,27
1,16,30
1,16,34
1,16,34
1,16,33
1,16,33
1,16,31
1,16,34
