step,m,time
1,1,5
1,1,3
1,1,4
1,1,4
1,1,4
1,1,4
1,1,15
1,1,5
1,1,4
1,1,4
1,1,3
1,1,4
1,1,4
1,1,5
1,1,4
1,1,4
1,1,4
1,1,5
1,1,4
1,1,4
1,1,4
1,1,4
1,1,4
1,1,4
1,1,4
1,1,4
1,1,3
1,1,4
1,1,4
1,1,4
1,1,4
1,1,4
1,1,4
1,1,4
1,1,4
1,1,4
1,1,4
1,1,4
1,1,4
1,1,5
1,1,4
1,1,4
1,1,4
1,1,4
1,1,4
1,1,4
1,1,4
1,1,4
1,1,5
1,1,3
1,1,4
1,1,4
1,1,5
1,1,2
1,1,4
1,1,5
1,1,4
1,1,4
1,1,4
1,1,4
1,1,4
1,1,4
1,1,4
1,1,4
1,1,4
1,1,4
1,1,4
1,1,4
1,1,4
1,1,4
1,1,3
1,1,4
1,1,4
1,1,5
1,1,4
1,1,4
1,1,4
1,1,2
1,1,4
1,1,4
1,1,3
1,1,4
1,1,4
1,1,11
1,1,4
1,1,4
1,1,3
1,1,4
1,1,4
1,1,4
1,1,4
1,1,4
1,1,5
1,1,5
1,1,4
1,1,4
1,1,4
1,1,4
1,1,4
1,1,6
1,21,46
1,21,50
1,21,105
1,21,96
1,21,55
1,21,45
1,21,74
1,21,42
1,21,38
1,21,37
1,21,32
1,21,38
1,21,44
1,21,32
1,21,55
1,21,31
1,21,38
1,21,68
1,21,32
1,21,33
1,21,62
1,21,37
1,21,55
1,21,44
1,21,42
1,21,35
1,21,45
1,21,36
1,21,35
1,21,41
1,21,56
1,21,40
1,21,57
1,21,38
1,21,37
1,21,39
1,21,34
1,21,37
1,21,58
1,21,41
1,21,37
1,21,41
1,21,38
1,21,50
1,21,39
1,21,37
1,21,38
1,21,42
1,21,41
1,21,30
1,21,33
1,21,40
1,21,34
1,21,55
1,21,44
1,21,36
1,21,39
1,21,37
1,21,35
1,21,63
1,21,37
1,21,52
1,21,40
1,21,38
1,21,36
1,21,39
1,21,40
1,21,36
1,21,33
1,21,36
1,21,39
1,21,55
1,21,36
1,21,29
1,21,36
1,21,29
1,21,37
1,21,40
1,21,43
1,21,33
1,21,30
1,21,32
1,21,36
1,21,36
1,21,43
1,21,44
1,21,33
1,21,27
1,21,36
1,21,71
1,21,99
1,21,42
1,21,39
1,21,41
1,21,40
1,21,33
1,21,39
1,21,40
1,21,34
1,21,38
1,41,56
1,41,56
1,41,52
1,41,55
1,41,175
1,41,65
1,41,55
1,41,55
1,41,49
1,41,48
1,41,52
1,41,82
1,41,57
1,41,47
1,41,51
1,41,75
1,41,56
1,41,79
1,41,67
1,41,101
1,41,52
1,41,50
1,41,56
1,41,48
1,41,56
1,41,53
1,41,44
1,41,49
1,41,51
1,41,63
1,41,50
1,41,56
1,41,60
1,41,66
1,41,53
1,41,52
1,41,69
1,41,52
1,41,54
1,41,44
1,41,48
1,41,73
1,41,100
1,41,63
1,41,55
1,41,60
1,41,87
1,41,53
1,41,52
1,41,159
1,41,78
1,41,45
1,41,43
1,41,55
1,41,78
1,41,57
1,41,60
1,41,57
1,41,47
1,41,58
1,41,81
1,41,150
1,41,58
1,41,66
1,41,58
1,41,73
1,41,87
1,41,63
1,41,67
1,41,57
1,41,72
1,41,78
1,41,89
1,41,83
1,41,85
1,41,121
1,41,86
1,41,87
1,41,73
1,41,72
1,41,77
1,41,110
1,41,95
1,41,94
1,41,79
1,41,82
1,41,70
1,41,67
1,41,86
1,41,113
1,41,91
1,41,157
1,41,67
1,41,111
1,41,73
1,41,56
1,41,110
1,41,62
1,41,94
1,41,96
1,61,90
1,61,157
1,61,113
1,61,66
1,61,65
1,61,145
1,61,106
1,61,91
1,61,92
1,61,173
1,61,110
1,61,75
1,61,128
1,61,69
1,61,63
1,61,74
1,61,86
1,61,69
1,61,62
1,61,109
1,61,126
1,61,78
1,61,65
1,61,65
1,61,60
1,61,54
1,61,56
1,61,57
1,61,68
1,61,67
1,61,64
1,61,59
1,61,54
1,61,59
1,61,63
1,61,59
1,61,54
1,61,59
1,61,66
1,61,64
1,61,53
1,61,63
1,61,61
1,61,58
1,61,51
1,61,54
1,61,67
1,61,57
1,61,70
1,61,138
1,61,69
1,61,61
1,61,71
1,61,67
1,61,59
1,61,55
1,61,55
1,61,81
1,61,64
1,61,61
1,61,54
1,61,55
1,61,56
1,61,63
1,61,55
1,61,52
1,61,56
1,61,59
1,61,55
1,61,55
1,61,50
1,61,57
1,61,63
1,61,61
1,61,56
1,61,55
1,61,59
1,61,86
1,61,72
1,61,68
1,61,57
1,61,57
1,61,56
1,61,54
1,61,67
1,61,230
1,61,138
1,61,63
1,61,71
1,61,62
1,61,55
1,61,61
1,61,64
1,61,68
1,61,57
1,61,57
1,61,56
1,61,56
1,61,56
1,61,64
1,81,83
1,81,71
1,81,73
1,81,63
1,81,70
1,81,64
1,81,63
1,81,61
1,81,105
1,81,144
1,81,156
1,81,69
1,81,72
1,81,76
1,81,66
1,81,69
1,81,71
1,81,70
1,81,62
1,81,63
1,81,66
1,81,83
1,81,68
1,81,66
1,81,69
1,81,63
1,81,60
1,81,67
1,81,66
1,81,69
1,81,65
1,81,63
1,81,60
1,81,68
1,81,64
1,81,64
1,81,61
1,81,65
1,81,73
1,81,71
1,81,100
1,81,71
1,81,68
1,81,103
1,81,63
1,81,61
1,81,71
1,81,139
1,81,111
1,81,68
1,81,66
1,81,83
1,81,59
1,81,63
1,81,65
1,81,83
1,81,88
1,81,65
1,81,64
1,81,79
1,81,94
1,81,59
1,81,81
1,81,73
1,81,75
1,81,88
1,81,160
1,81,77
1,81,86
1,81,76
1,81,60
1,81,63
1,81,77
1,81,90
1,81,63
1,81,63
1,81,81
1,81,69
1,81,78
1,81,102
1,81,68
1,81,66
1,81,64
1,81,58
1,81,77
1,81,85
1,81,64
1,81,63
1,81,60
1,81,65
1,81,63
1,81,68
1,81,70
1,81,73
1,81,66
1,81,64
1,81,66
1,81,60
1,81,79
1,81,60
1,101,242
1,101,88
1,101,75
1,101,84
1,101,145
1,101,92
1,101,106
1,101,197
1,101,109
1,101,72
1,101,71
1,101,73
1,101,64
1,101,72
1,101,66
1,101,85
1,101,78
1,101,71
1,101,100
1,101,88
1,101,64
1,101,62
1,101,64
1,101,63
1,101,76
1,101,74
1,101,69
1,101,67
1,101,63
1,101,90
1,101,68
1,101,71
1,101,101
1,101,67
1,101,78
1,101,68
1,101,77
1,101,65
1,101,64
1,101,64
1,101,104
1,101,88
1,101,79
1,101,81
1,101,72
1,101,68
1,101,65
1,101,69
1,101,67
1,101,68
1,101,64
1,101,69
1,101,59
1,101,73
1,101,63
1,101,73
1,101,103
1,101,63
1,101,64
1,101,73
1,101,63
1,101,84
1,101,90
1,101,70
1,101,75
1,101,81
1,101,67
1,101,128
1,101,196
1,101,86
1,101,73
1,101,70
1,101,76
1,101,70
1,101,75
1,101,77
1,101,76
1,101,70
1,101,94
1,101,109
1,101,85
1,101,83
1,101,99
1,101,72
1,101,95
1,101,123
1,101,175
1,101,80
1,101,71
1,101,67
1,101,112
1,101,65
1,101,87
1,101,73
1,101,63
1,101,67
1,101,67
1,101,72
1,101,68
1,101,70
1,121,197
1,121,100
1,121,74
1,121,76
1,121,90
1,121,66
1,121,74
1,121,75
1,121,103
1,121,165
1,121,88
1,121,79
1,121,75
1,121,72
1,121,74
1,121,70
1,121,68
1,121,68
1,121,70
1,121,72
1,121,74
1,121,72
1,121,68
1,121,134
1,121,88
1,121,77
1,121,76
1,121,89
1,121,66
1,121,73
1,121,67
1,121,198
1,121,82
1,121,67
1,121,79
1,121,84
1,121,65
1,121,123
1,121,77
1,121,64
1,121,64
1,121,77
1,121,103
1,121,76
1,121,68
1,121,71
1,121,68
1,121,63
1,121,84
1,121,70
1,121,70
1,121,73
1,121,74
1,121,69
1,121,68
1,121,64
1,121,65
1,121,72
1,121,68
1,121,89
1,121,72
1,121,65
1,121,69
1,121,65
1,121,209
1,121,92
1,121,76
1,121,74
1,121,96
1,121,67
1,121,108
1,121,101
1,121,73
1,121,100
1,121,68
1,121,70
1,121,72
1,121,71
1,121,84
1,121,77
1,121,67
1,121,75
1,121,112
1,121,63
1,121,67
1,121,69
1,121,73
1,121,89
1,121,70
1,121,95
1,121,71
1,121,67
1,121,93
1,121,83
1,121,72
1,121,74
1,121,74
1,121,67
1,121,91
1,121,93
1,141,156
1,141,87
1,141,78
1,141,70
1,141,88
1,141,73
1,141,73
1,141,146
1,141,259
1,141,211
1,141,94
1,141,79
1,141,76
1,141,72
1,141,78
1,141,76
1,141,106
1,141,85
1,141,99
1,141,80
1,141,73
1,141,72
1,141,73
1,141,70
1,141,90
1,141,89
1,141,86
1,141,78
1,141,80
1,141,71
1,141,72
1,141,94
1,141,76
1,141,71
1,141,75
1,141,68
1,141,79
1,141,71
1,141,73
1,141,83
1,141,79
1,141,74
1,141,72
1,141,70
1,141,88
1,141,86
1,141,85
1,141,73
1,141,109
1,141,97
1,141,79
1,141,82
1,141,100
1,141,94
1,141,87
1,141,73
1,141,255
1,141,98
1,141,79
1,141,79
1,141,73
1,141,212
1,141,111
1,141,99
1,141,88
1,141,82
1,141,77
1,141,114
1,141,75
1,141,208
1,141,86
1,141,78
1,141,74
1,141,71
1,141,96
1,141,83
1,141,73
1,141,76
1,141,69
1,141,68
1,141,67
1,141,71
1,141,88
1,141,87
1,141,67
1,141,73
1,141,121
1,141,91
1,141,71
1,141,101
1,141,76
1,141,71
1,141,85
1,141,95
1,141,70
1,141,67
1,141,70
1,141,76
1,141,73
1,141,85
1,161,141
1,161,183
1,161,101
1,161,99
1,161,88
1,161,92
1,161,103
1,161,87
1,161,123
1,161,251
1,161,97
1,161,118
1,161,79
1,161,86
1,161,84
1,161,222
1,161,106
1,161,91
1,161,90
1,161,83
1,161,79
1,161,74
1,161,81
1,161,75
1,161,94
1,161,74
1,161,75
1,161,72
1,161,82
1,161,80
1,161,72
1,161,78
1,161,92
1,161,92
1,161,85
1,161,114
1,161,84
1,161,76
1,161,80
1,161,89
1,161,75
1,161,74
1,161,81
1,161,81
1,161,73
1,161,73
1,161,71
1,161,74
1,161,73
1,161,73
1,161,79
1,161,71
1,161,73
1,161,72
1,161,201
1,161,116
1,161,180
1,161,174
1,161,136
1,161,116
1,161,100
1,161,100
1,161,93
1,161,92
1,161,91
1,161,81
1,161,81
1,161,78
1,161,78
1,161,81
1,161,79
1,161,83
1,161,82
1,161,107
1,161,86
1,161,70
1,161,75
1,161,72
1,161,70
1,161,73
1,161,87
1,161,69
1,161,68
1,161,73
1,161,125
1,161,94
1,161,119
1,161,83
1,161,74
1,161,70
1,161,69
1,161,71
1,161,235
1,161,87
1,161,71
1,161,70
1,161,79
1,161,80
1,161,78
1,161,79
1,181,125
1,181,291
1,181,89
1,181,75
1,181,74
1,181,79
1,181,126
1,181,80
1,181,74
1,181,77
1,181,73
1,181,98
1,181,73
1,181,79
1,181,72
1,181,74
1,181,74
1,181,72
1,181,75
1,181,94
1,181,89
1,181,88
1,181,77
1,181,76
1,181,74
1,181,75
1,181,75
1,181,90
1,181,78
1,181,78
1,181,81
1,181,96
1,181,96
1,181,87
1,181,118
1,181,111
1,181,93
1,181,96
1,181,111
1,181,91
1,181,77
1,181,76
1,181,162
1,181,107
1,181,101
1,181,91
1,181,236
1,181,118
1,181,117
1,181,98
1,181,76
1,181,73
1,181,85
1,181,74
1,181,111
1,181,98
1,181,88
1,181,95
1,181,78
1,181,82
1,181,75
1,181,86
1,181,86
1,181,97
1,181,95
1,181,95
1,181,92
1,181,92
1,181,92
1,181,93
1,181,89
1,181,92
1,181,92
1,181,91
1,181,100
1,181,98
1,181,90
1,181,91
1,181,93
1,181,107
1,181,104
1,181,108
1,181,92
1,181,111
1,181,75
1,181,75
1,181,111
1,181,90
1,181,81
1,181,104
1,181,109
1,181,106
1,181,93
1,181,92
1,181,95
1,181,95
1,181,96
1,181,89
1,181,92
1,181,89
1,201,131
1,201,98
1,201,83
1,201,80
1,201,74
1,201,84
1,201,81
1,201,82
1,201,129
1,201,195
1,201,138
1,201,98
1,201,86
1,201,102
1,201,114
1,201,88
1,201,102
1,201,217
1,201,104
1,201,84
1,201,94
1,201,79
1,201,81
1,201,85
1,201,79
1,201,81
1,201,76
1,201,80
1,201,86
1,201,80
1,201,83
1,201,78
1,201,80
1,201,78
1,201,85
1,201,80
1,201,77
1,201,76
1,201,80
1,201,78
1,201,76
1,201,77
1,201,76
1,201,98
1,201,105
1,201,89
1,201,80
1,201,96
1,201,86
1,201,81
1,201,79
1,201,113
1,201,217
1,201,96
1,201,85
1,201,78
1,201,98
1,201,78
1,201,77
1,201,78
1,201,77
1,201,81
1,201,78
1,201,83
1,201,85
1,201,79
1,201,80
1,201,79
1,201,79
1,201,79
1,201,77
1,201,89
1,201,83
1,201,80
1,201,78
1,201,77
1,201,75
1,201,97
1,201,159
1,201,100
1,201,89
1,201,78
1,201,77
1,201,73
1,201,73
1,201,85
1,201,297
1,201,96
1,201,87
1,201,88
1,201,81
1,201,72
1,201,75
1,201,78
1,201,75
1,201,82
1,201,75
1,201,93
1,201,76
1,201,77
1,221,264
1,221,99
1,221,113
1,221,226
1,221,122
1,221,96
1,221,85
1,221,81
1,221,81
1,221,81
1,221,88
1,221,259
1,221,105
1,221,87
1,221,89
1,221,83
1,221,85
1,221,83
1,221,82
1,221,80
1,221,85
1,221,85
1,221,77
1,221,83
1,221,86
1,221,81
1,221,79
1,221,75
1,221,79
1,221,79
1,221,81
1,221,80
1,221,86
1,221,90
1,221,85
1,221,79
1,221,77
1,221,83
1,221,79
1,221,79
1,221,93
1,221,78
1,221,79
1,221,82
1,221,92
1,221,90
1,221,83
1,221,80
1,221,78
1,221,76
1,221,92
1,221,77
1,221,92
1,221,81
1,221,83
1,221,83
1,221,81
1,221,78
1,221,80
1,221,85
1,221,82
1,221,79
1,221,79
1,221,83
1,221,88
1,221,78
1,221,81
1,221,79
1,221,82
1,221,99
1,221,80
1,221,86
1,221,93
1,221,81
1,221,88
1,221,78
1,221,81
1,221,79
1,221,80
1,221,78
1,221,83
1,221,77
1,221,145
1,221,90
1,221,84
1,221,85
1,221,82
1,221,75
1,221,80
1,221,91
1,221,120
1,221,239
1,221,94
1,221,94
1,221,87
1,221,79
1,221,88
1,221,85
1,221,79
1,221,79
1,241,321
1,241,97
1,241,86
1,241,205
1,241,180
1,241,104
1,241,113
1,241,97
1,241,158
1,241,103
1,241,85
1,241,102
1,241,89
1,241,82
1,241,82
1,241,188
1,241,185
1,241,96
1,241,85
1,241,120
1,241,91
1,241,80
1,241,190
1,241,175
1,241,100
1,241,93
1,241,85
1,241,94
1,241,84
1,241,95
1,241,89
1,241,88
1,241,84
1,241,92
1,241,83
1,241,96
1,241,96
1,241,125
1,241,94
1,241,87
1,241,94
1,241,93
1,241,96
1,241,79
1,241,85
1,241,192
1,241,130
1,241,90
1,241,84
1,241,81
1,241,80
1,241,77
1,241,78
1,241,80
1,241,80
1,241,90
1,241,91
1,241,92
1,241,93
1,241,93
1,241,94
1,241,95
1,241,94
1,241,80
1,241,80
1,241,80
1,241,80
1,241,81
1,241,90
1,241,83
1,241,85
1,241,85
1,241,96
1,241,82
1,241,79
1,241,80
1,241,85
1,241,92
1,241,85
1,241,81
1,241,79
1,241,82
1,241,80
1,241,90
1,241,82
1,241,80
1,241,84
1,241,82
1,241,81
1,241,80
1,241,97
1,241,84
1,241,81
1,241,80
1,241,81
1,241,82
1,241,78
1,241,80
1,241,93
1,241,89
1,261,86
1,261,134
1,261,96
1,261,140
1,261,216
1,261,105
1,261,92
1,261,91
1,261,88
1,261,89
1,261,84
1,261,81
1,261,81
1,261,82
1,261,85
1,261,82
1,261,81
1,261,87
1,261,110
1,261,254
1,261,107
1,261,83
1,261,96
1,261,84
1,261,90
1,261,86
1,261,79
1,261,79
1,261,89
1,261,82
1,261,88
1,261,86
1,261,83
1,261,89
1,261,89
1,261,111
1,261,79
1,261,82
1,261,84
1,261,90
1,261,80
1,261,92
1,261,80
1,261,80
1,261,86
1,261,83
1,261,88
1,261,93
1,261,90
1,261,89
1,261,80
1,261,80
1,261,80
1,261,86
1,261,84
1,261,81
1,261,100
1,261,84
1,261,82
1,261,80
1,261,79
1,261,78
1,261,91
1,261,82
1,261,82
1,261,78
1,261,81
1,261,78
1,261,79
1,261,92
1,261,93
1,261,101
1,261,81
1,261,81
1,261,79
1,261,81
1,261,79
1,261,81
1,261,81
1,261,82
1,261,79
1,261,79
1,261,121
1,261,95
1,261,81
1,261,90
1,261,91
1,261,79
1,261,77
1,261,79
1,261,119
1,261,250
1,261,98
1,261,89
1,261,83
1,261,81
1,261,82
1,261,85
1,261,89
1,261,92
1,281,87
1,281,85
1,281,83
1,281,88
1,281,112
1,281,263
1,281,104
1,281,119
1,281,117
1,281,83
1,281,82
1,281,82
1,281,81
1,281,84
1,281,84
1,281,82
1,281,88
1,281,82
1,281,81
1,281,86
1,281,81
1,281,83
1,281,81
1,281,92
1,281,83
1,281,82
1,281,81
1,281,90
1,281,86
1,281,86
1,281,84
1,281,87
1,281,85
1,281,85
1,281,80
1,281,111
1,281,101
1,281,241
1,281,126
1,281,108
1,281,102
1,281,96
1,281,91
1,281,90
1,281,83
1,281,82
1,281,308
1,281,102
1,281,89
1,281,84
1,281,88
1,281,82
1,281,87
1,281,83
1,281,91
1,281,86
1,281,84
1,281,87
1,281,84
1,281,83
1,281,84
1,281,84
1,281,91
1,281,88
1,281,86
1,281,85
1,281,92
1,281,82
1,281,85
1,281,85
1,281,98
1,281,85
1,281,85
1,281,83
1,281,84
1,281,110
1,281,89
1,281,90
1,281,81
1,281,82
1,281,81
1,281,88
1,281,89
1,281,90
1,281,84
1,281,81
1,281,83
1,281,85
1,281,83
1,281,79
1,281,79
1,281,81
1,281,82
1,281,79
1,281,78
1,281,88
1,281,78
1,281,79
1,281,79
1,281,81
1,301,88
1,301,105
1,301,118
1,301,101
1,301,157
1,301,203
1,301,123
1,301,95
1,301,120
1,301,213
1,301,102
1,301,127
1,301,92
1,301,102
1,301,84
1,301,84
1,301,102
1,301,103
1,301,82
1,301,80
1,301,95
1,301,81
1,301,80
1,301,78
1,301,117
1,301,103
1,301,79
1,301,95
1,301,79
1,301,80
1,301,80
1,301,96
1,301,105
1,301,83
1,301,78
1,301,112
1,301,101
1,301,80
1,301,96
1,301,92
1,301,83
1,301,81
1,301,86
1,301,82
1,301,126
1,301,108
1,301,209
1,301,116
1,301,94
1,301,88
1,301,94
1,301,86
1,301,85
1,301,91
1,301,85
1,301,81
1,301,129
1,301,88
1,301,91
1,301,83
1,301,121
1,301,82
1,301,83
1,301,84
1,301,80
1,301,125
1,301,86
1,301,84
1,301,85
1,301,82
1,301,88
1,301,83
1,301,83
1,301,84
1,301,110
1,301,84
1,301,82
1,301,81
1,301,83
1,301,81
1,301,108
1,301,83
1,301,84
1,301,85
1,301,82
1,301,83
1,301,83
1,301,80
1,301,103
1,301,83
1,301,83
1,301,85
1,301,86
1,301,134
1,301,123
1,301,86
1,301,85
1,301,80
1,301,98
1,301,88
1,321,138
1,321,232
1,321,104
1,321,101
1,321,90
1,321,85
1,321,97
1,321,87
1,321,105
1,321,153
1,321,211
1,321,115
1,321,109
1,321,93
1,321,96
1,321,113
1,321,86
1,321,107
1,321,87
1,321,89
1,321,88
1,321,93
1,321,87
1,321,90
1,321,118
1,321,86
1,321,93
1,321,92
1,321,124
1,321,113
1,321,96
1,321,120
1,321,101
1,321,90
1,321,102
1,321,279
1,321,205
1,321,96
1,321,84
1,321,108
1,321,335
1,321,102
1,321,114
1,321,89
1,321,85
1,321,90
1,321,86
1,321,89
1,321,89
1,321,81
1,321,88
1,321,93
1,321,88
1,321,84
1,321,101
1,321,90
1,321,94
1,321,85
1,321,91
1,321,89
1,321,86
1,321,86
1,321,94
1,321,90
1,321,87
1,321,91
1,321,93
1,321,94
1,321,86
1,321,94
1,321,93
1,321,84
1,321,86
1,321,84
1,321,91
1,321,87
1,321,99
1,321,91
1,321,88
1,321,88
1,321,85
1,321,85
1,321,106
1,321,88
1,321,103
1,321,89
1,321,85
1,321,84
1,321,86
1,321,93
1,321,92
1,321,93
1,321,90
1,321,92
1,321,89
1,321,88
1,321,103
1,321,142
1,321,85
1,321,85
1,341,94
1,341,87
1,341,146
1,341,342
1,341,106
1,341,98
1,341,92
1,341,87
1,341,116
1,341,132
1,341,123
1,341,136
1,341,95
1,341,104
1,341,91
1,341,102
1,341,93
1,341,186
1,341,115
1,341,100
1,341,99
1,341,117
1,341,90
1,341,88
1,341,90
1,341,194
1,341,106
1,341,88
1,341,89
1,341,86
1,341,87
1,341,147
1,341,100
1,341,109
1,341,93
1,341,102
1,341,90
1,341,88
1,341,86
1,341,85
1,341,94
1,341,86
1,341,114
1,341,88
1,341,87
1,341,102
1,341,87
1,341,120
1,341,90
1,341,95
1,341,98
1,341,88
1,341,89
1,341,97
1,341,85
1,341,123
1,341,129
1,341,101
1,341,89
1,341,118
1,341,90
1,341,94
1,341,86
1,341,219
1,341,108
1,341,93
1,341,92
1,341,86
1,341,86
1,341,87
1,341,100
1,341,86
1,341,103
1,341,87
1,341,111
1,341,101
1,341,85
1,341,96
1,341,114
1,341,109
1,341,97
1,341,84
1,341,100
1,341,86
1,341,83
1,341,86
1,341,85
1,341,93
1,341,86
1,341,84
1,341,86
1,341,126
1,341,86
1,341,98
1,341,89
1,341,120
1,341,86
1,341,86
1,341,85
1,341,97
1,361,98
1,361,92
1,361,130
1,361,211
1,361,231
1,361,233
1,361,110
1,361,116
1,361,264
1,361,111
1,361,126
1,361,109
1,361,111
1,361,104
1,361,91
1,361,97
1,361,91
1,361,88
1,361,88
1,361,97
1,361,109
1,361,109
1,361,94
1,361,98
1,361,88
1,361,85
1,361,86
1,361,87
1,361,90
1,361,86
1,361,88
1,361,88
1,361,94
1,361,89
1,361,95
1,361,129
1,361,88
1,361,94
1,361,91
1,361,89
1,361,90
1,361,93
1,361,88
1,361,89
1,361,93
1,361,132
1,361,89
1,361,104
1,361,87
1,361,88
1,361,110
1,361,89
1,361,99
1,361,94
1,361,89
1,361,97
1,361,127
1,361,114
1,361,91
1,361,93
1,361,108
1,361,88
1,361,88
1,361,99
1,361,87
1,361,100
1,361,95
1,361,96
1,361,93
1,361,89
1,361,89
1,361,87
1,361,127
1,361,87
1,361,86
1,361,107
1,361,91
1,361,114
1,361,87
1,361,87
1,361,113
1,361,93
1,361,95
1,361,89
1,361,96
1,361,94
1,361,94
1,361,99
1,361,91
1,361,88
1,361,95
1,361,89
1,361,90
1,361,143
1,361,109
1,361,97
1,361,94
1,361,130
1,361,145
1,361,184
1,381,92
1,381,236
1,381,198
1,381,196
1,381,128
1,381,91
1,381,94
1,381,94
1,381,90
1,381,105
1,381,129
1,381,92
1,381,96
1,381,100
1,381,86
1,381,120
1,381,101
1,381,99
1,381,106
1,381,93
1,381,95
1,381,104
1,381,90
1,381,88
1,381,107
1,381,105
1,381,89
1,381,103
1,381,92
1,381,102
1,381,105
1,381,113
1,381,174
1,381,103
1,381,92
1,381,96
1,381,102
1,381,90
1,381,89
1,381,276
1,381,228
1,381,103
1,381,99
1,381,91
1,381,104
1,381,95
1,381,90
1,381,96
1,381,90
1,381,90
1,381,90
1,381,122
1,381,90
1,381,105
1,381,94
1,381,95
1,381,91
1,381,90
1,381,96
1,381,92
1,381,105
1,381,102
1,381,111
1,381,90
1,381,115
1,381,98
1,381,88
1,381,108
1,381,109
1,381,131
1,381,91
1,381,90
1,381,140
1,381,146
1,381,90
1,381,90
1,381,128
1,381,90
1,381,88
1,381,101
1,381,134
1,381,93
1,381,91
1,381,91
1,381,87
1,381,90
1,381,92
1,381,88
1,381,146
1,381,107
1,381,94
1,381,87
1,381,214
1,381,119
1,381,104
1,381,97
1,381,132
1,381,148
1,381,145
1,381,132
1,401,102
1,401,100
1,401,115
1,401,217
1,401,301
1,401,116
1,401,103
1,401,95
1,401,106
1,401,95
1,401,120
1,401,93
1,401,98
1,401,92
1,401,92
1,401,116
1,401,91
1,401,115
1,401,97
1,401,91
1,401,106
1,401,93
1,401,110
1,401,96
1,401,102
1,401,90
1,401,90
1,401,91
1,401,112
1,401,133
1,401,112
1,401,108
1,401,88
1,401,87
1,401,109
1,401,88
1,401,96
1,401,111
1,401,91
1,401,87
1,401,105
1,401,127
1,401,113
1,401,90
1,401,105
1,401,94
1,401,89
1,401,88
1,401,109
1,401,90
1,401,88
1,401,105
1,401,123
1,401,94
1,401,95
1,401,107
1,401,94
1,401,88
1,401,92
1,401,101
1,401,89
1,401,113
1,401,107
1,401,88
1,401,119
1,401,139
1,401,135
1,401,128
1,401,114
1,401,113
1,401,142
1,401,94
1,401,93
1,401,190
1,401,109
1,401,103
1,401,99
1,401,316
1,401,240
1,401,114
1,401,111
1,401,319
1,401,125
1,401,123
1,401,114
1,401,151
1,401,97
1,401,90
1,401,127
1,401,92
1,401,90
1,401,103
1,401,97
1,401,90
1,401,89
1,401,102
1,401,87
1,401,92
1,401,90
1,401,125
1,421,97
1,421,160
1,421,193
1,421,122
1,421,106
1,421,108
1,421,100
1,421,114
1,421,95
1,421,94
1,421,163
1,421,125
1,421,103
1,421,94
1,421,93
1,421,103
1,421,102
1,421,218
1,421,280
1,421,117
1,421,120
1,421,125
1,421,97
1,421,110
1,421,94
1,421,106
1,421,94
1,421,95
1,421,102
1,421,106
1,421,102
1,421,122
1,421,95
1,421,101
1,421,96
1,421,137
1,421,97
1,421,99
1,421,95
1,421,100
1,421,104
1,421,103
1,421,107
1,421,94
1,421,121
1,421,93
1,421,94
1,421,95
1,421,91
1,421,135
1,421,93
1,421,102
1,421,135
1,421,94
1,421,103
1,421,92
1,421,91
1,421,100
1,421,97
1,421,91
1,421,92
1,421,103
1,421,92
1,421,126
1,421,120
1,421,100
1,421,99
1,421,101
1,421,91
1,421,106
1,421,113
1,421,108
1,421,157
1,421,143
1,421,113
1,421,107
1,421,108
1,421,105
1,421,253
1,421,226
1,421,129
1,421,105
1,421,124
1,421,109
1,421,111
1,421,124
1,421,108
1,421,106
1,421,131
1,421,117
1,421,93
1,421,101
1,421,104
1,421,109
1,421,94
1,421,134
1,421,175
1,421,111
1,421,103
1,421,101
1,441,104
1,441,161
1,441,221
1,441,121
1,441,101
1,441,119
1,441,98
1,441,101
1,441,97
1,441,113
1,441,125
1,441,101
1,441,99
1,441,124
1,441,95
1,441,94
1,441,97
1,441,94
