step,m,time
1,2,7
1,2,6
1,2,6
1,2,6
1,2,6
1,2,4
1,2,7
1,2,7
1,2,6
1,2,7
1,2,7
1,2,6
1,2,6
1,2,6
1,2,6
1,2,7
1,2,6
1,2,6
1,2,6
1,2,7
1,2,6
1,2,6
1,2,4
1,2,7
1,2,6
1,2,4
1,2,6
1,2,6
1,2,6
1,2,7
1,2,6
1,2,6
1,2,8
1,2,4
1,2,5
1,2,6
1,2,6
1,2,4
1,2,7
1,2,7
1,2,8
1,2,7
1,2,7
1,2,6
1,2,7
1,2,6
1,2,4
1,2,6
1,2,6
1,2,4
1,2,7
1,2,6
1,2,7
1,2,6
1,2,4
1,2,7
1,2,6
1,2,6
1,2,6
1,2,6
1,2,6
1,2,3
1,2,6
1,2,5
1,2,6
1,2,6
1,2,6
1,2,6
1,2,7
1,2,6
1,2,7
1,2,6
1,2,7
1,2,6
1,2,7
1,2,6
1,2,7
1,2,6
1,2,6
1,2,6
1,2,6
1,2,7
1,2,6
1,2,7
1,2,9
1,2,7
1,2,7
1,2,6
1,2,7
1,2,7
1,2,6
1,2,7
1,2,6
1,2,6
1,2,7
1,2,6
1,2,6
1,2,7
1,2,6
1,2,4
1,4,12
1,4,11
1,4,9
1,4,11
1,4,10
1,4,9
1,4,11
1,4,8
1,4,11
1,4,11
1,4,9
1,4,12
1,4,6
1,4,9
1,4,10
1,4,10
1,4,11
1,4,9
1,4,9
1,4,9
1,4,10
1,4,10
1,4,11
1,4,10
1,4,6
1,4,8
1,4,9
1,4,9
1,4,9
1,4,10
1,4,11
1,4,8
1,4,10
1,4,9
1,4,9
1,4,9
1,4,11
1,4,6
1,4,9
1,4,12
1,4,9
1,4,10
1,4,6
1,4,11
1,4,11
1,4,10
1,4,11
1,4,8
1,4,9
1,4,11
1,4,8
1,4,12
1,4,9
1,4,9
1,4,9
1,4,12
1,4,12
1,4,9
1,4,9
1,4,8
1,4,8
1,4,7
1,4,9
1,4,8
1,4,8
1,4,10
1,4,9
1,4,9
1,4,9
1,4,7
1,4,9
1,4,12
1,4,8
1,4,11
1,4,11
1,4,9
1,4,11
1,4,10
1,4,12
1,4,8
1,4,10
1,4,12
1,4,8
1,4,11
1,4,11
1,4,9
1,4,8
1,4,9
1,4,10
1,4,9
1,4,8
1,4,11
1,4,10
1,4,8
1,4,9
1,4,11
1,4,8
1,4,11
1,4,7
1,4,9
1,8,16
1,8,11
1,8,15
1,8,10
1,8,15
1,8,15
1,8,13
1,8,11
1,8,16
1,8,14
1,8,16
1,8,14
1,8,11
1,8,13
1,8,13
1,8,14
1,8,15
1,8,15
1,8,9
1,8,17
1,8,13
1,8,11
1,8,14
1,8,14
1,8,13
1,8,17
1,8,11
1,8,11
1,8,12
1,8,15
1,8,13
1,8,12
1,8,16
1,8,11
1,8,12
1,8,11
1,8,13
1,8,17
1,8,16
1,8,14
1,8,20
1,8,14
1,8,12
1,8,14
1,8,17
1,8,9
1,8,13
1,8,15
1,8,18
1,8,14
1,8,11
1,8,14
1,8,13
1,8,19
1,8,16
1,8,12
1,8,11
1,8,13
1,8,16
1,8,16
1,8,15
1,8,11
1,8,16
1,8,17
1,8,15
1,8,10
1,8,18
1,8,14
1,8,14
1,8,16
1,8,12
1,8,17
1,8,13
1,8,13
1,8,11
1,8,15
1,8,13
1,8,14
1,8,11
1,8,11
1,8,15
1,8,11
1,8,13
1,8,15
1,8,10
1,8,15
1,8,16
1,8,13
1,8,11
1,8,13
1,8,16
1,8,13
1,8,13
1,8,15
1,8,14
1,8,29
1,8,9
1,8,14
1,8,13
1,8,15
1,16,20
1,16,21
1,16,18
1,16,20
1,16,20
1,16,22
1,16,20
1,16,17
1,16,17
1,16,24
1,16,19
1,16,19
1,16,18
1,16,18
1,16,18
1,16,18
1,16,17
1,16,21
1,16,20
1,16,15
1,16,19
1,16,19
1,16,19
1,16,18
1,16,18
1,16,45
1,16,19
1,16,21
1,16,21
1,16,19
1,16,19
1,16,13
1,16,17
1,16,20
1,16,21
1,16,20
1,16,18
1,16,19
1,16,20
1,16,19
1,16,17
1,16,20
1,16,21
1,16,20
1,16,16
1,16,17
1,16,18
1,16,18
1,16,18
1,16,19
1,16,18
1,16,18
1,16,20
1,16,17
1,16,18
1,16,19
1,16,19
1,16,18
1,16,19
1,16,20
1,16,20
1,16,18
1,16,22
1,16,17
1,16,18
1,16,17
1,16,16
1,16,19
1,16,20
1,16,18
1,16,20
1,16,15
1,16,21
1,16,21
1,16,17
1,16,17
1,16,19
1,16,18
1,16,19
1,16,24
1,16,20
1,16,17
1,16,16
