step,m,time
1,2,8
1,2,8
1,2,8
1,2,8
1,2,8
1,2,8
1,2,11
1,2,8
1,2,8
1,2,7
1,2,8
1,2,8
1,2,7
1,2,8
1,2,8
1,2,5
1,2,8
1,2,8
1,2,8
1,2,8
1,2,8
1,2,8
1,2,8
1,2,8
1,2,8
1,2,8
1,2,8
1,2,8
1,2,7
1,2,8
1,2,8
1,2,7
1,2,8
1,2,10
1,2,8
1,2,10
1,2,8
1,2,8
1,2,8
1,2,8
1,2,8
1,2,8
1,2,8
1,2,8
1,2,8
1,2,8
1,2,8
1,2,8
1,2,8
1,2,7
1,2,8
1,2,15
1,2,8
1,2,10
1,2,8
1,2,8
1,2,8
1,2,8
1,2,8
1,2,8
1,2,5
1,2,7
1,2,8
1,2,8
1,2,8
1,2,8
1,2,8
1,2,7
1,2,9
1,2,7
1,2,7
1,2,8
1,2,8
1,2,8
1,2,8
1,2,8
1,2,8
1,2,9
1,2,8
1,2,8
1,2,8
1,2,8
1,2,8
1,2,8
1,2,8
1,2,8
1,2,8
1,2,8
1,2,8
1,2,8
1,2,8
1,2,11
1,2,10
1,2,8
1,2,8
1,2,7
1,2,8
1,2,8
1,2,8
1,2,8
1,4,14
1,4,13
1,4,12
1,4,13
1,4,13
1,4,14
1,4,13
1,4,15
1,4,16
1,4,14
1,4,13
1,4,13
1,4,14
1,4,13
1,4,14
1,4,13
1,4,17
1,4,13
1,4,14
1,4,13
1,4,14
1,4,13
1,4,13
1,4,13
1,4,13
1,4,13
1,4,13
1,4,13
1,4,13
1,4,15
1,4,13
1,4,13
1,4,13
1,4,14
1,4,13
1,4,15
1,4,14
1,4,13
1,4,13
1,4,15
1,4,14
1,4,13
1,4,12
1,4,13
1,4,16
1,4,13
1,4,17
1,4,14
1,4,14
1,4,13
1,4,14
1,4,14
1,4,13
1,4,13
1,4,14
1,4,13
1,4,13
1,4,14
1,4,13
1,4,15
1,4,13
1,4,13
1,4,14
1,4,13
1,4,13
1,4,13
1,4,13
1,4,13
1,4,13
1,4,13
1,4,13
1,4,13
1,4,15
1,4,13
1,4,13
1,4,13
1,4,13
1,4,16
1,4,14
1,4,13
1,4,13
1,4,14
1,4,13
1,4,13
1,4,14
1,4,13
1,4,14
1,4,13
1,4,13
1,4,11
1,4,13
1,4,12
1,4,16
1,4,13
1,4,16
1,4,15
1,4,13
1,4,14
1,4,14
1,4,13
1,8,22
1,8,21
1,8,22
1,8,21
1,8,24
1,8,21
1,8,20
1,8,28
1,8,27
1,8,22
1,8,22
1,8,21
1,8,21
1,8,21
1,8,23
1,8,22
1,8,21
1,8,21
1,8,23
1,8,33
1,8,23
1,8,24
1,8,21
1,8,21
1,8,23
1,8,22
1,8,22
1,8,22
1,8,23
1,8,21
1,8,21
1,8,22
1,8,26
1,8,21
1,8,19
1,8,22
1,8,22
1,8,22
1,8,22
1,8,22
1,8,22
1,8,20
1,8,21
1,8,22
1,8,22
1,8,26
1,8,37
1,8,22
1,8,21
1,8,22
1,8,22
1,8,22
1,8,21
1,8,22
1,8,26
1,8,21
1,8,21
1,8,25
1,8,22
1,8,22
1,8,22
1,8,21
1,8,22
1,8,21
1,8,22
1,8,21
1,8,21
1,8,23
1,8,21
1,8,24
1,8,21
1,8,24
1,8,19
1,8,25
1,8,22
1,8,21
1,8,21
1,8,20
1,8,24
1,8,21
1,8,21
1,8,22
1,8,33
1,8,18
1,8,21
1,8,23
1,8,23
1,8,22
1,8,21
1,8,23
1,8,25
1,8,21
1,8,24
1,8,22
1,8,23
1,8,22
1,8,23
1,8,19
1,8,21
1,8,24
1,16,36
1,16,38
1,16,36
1,16,37
1,16,37
1,16,45
1,16,41
1,16,43
1,16,37
1,16,37
1,16,38
1,16,36
1,16,37
1,16,37
1,16,37
1,16,41
1,16,36
1,16,36
1,16,39
1,16,37
1,16,37
1,16,37
1,16,39
1,16,36
1,16,36
1,16,38
1,16,37
1,16,36
1,16,36
1,16,38
1,16,45
1,16,37
1,16,38
1,16,37
1,16,36
1,16,37
1,16,38
1,16,37
1,16,37
1,16,37
1,16,37
1,16,43
1,16,36
1,16,50
1,16,40
1,16,37
1,16,45
1,16,37
1,16,38
1,16,37
1,16,36
1,16,36
1,16,36
1,16,37
1,16,37
