step,m,time
1,5,2130
1,5,1492
1,5,1440
1,5,42
1,5,37
1,5,1457
1,5,28
1,5,3553
1,5,2133
1,5,22
1,5,2115
1,5,1375
1,5,2642
1,5,25
1,5,803
1,5,20
1,5,19
1,5,4866
1,5,19
1,5,771
1,5,2514
1,5,1695
1,5,51
1,5,923
1,5,41
1,5,1781
1,5,1674
1,5,2258
1,5,2156
1,5,1367
1,5,770
1,5,23
1,5,22
1,5,1452
1,5,1366
1,5,2626
1,5,2414
1,5,41
1,5,27
1,5,1438
1,5,771
1,5,26
1,5,1365
1,5,1348
1,5,1815
1,5,1540
1,5,32
1,5,895
1,5,1687
1,5,1466
1,5,1516
1,5,31
1,5,24
1,5,666
1,5,22
1,5,30
1,5,699
1,5,20
1,5,31
1,5,1214
1,5,28
1,5,2891
1,5,765
1,5,21
1,5,1458
1,5,748
1,5,718
1,5,782
1,5,657
1,5,19
1,5,1493
1,5,26
1,5,3321
1,5,43
1,5,36
1,5,933
1,5,41
1,5,777
1,5,1487
1,5,3390
1,5,34
1,5,23
1,5,24
1,5,1441
1,5,1746
1,5,887
1,5,38
1,5,33
1,5,1527
1,5,2811
1,5,1364
1,5,22
1,5,22
1,5,2964
1,5,1636
1,5,1579
1,5,1400
1,5,2797
1,5,1499
1,5,22
1,10,4127
1,10,2705
1,10,1387
1,10,1897
1,10,2691
1,10,2432
1,10,3496
1,10,53
1,10,1447
1,10,770
1,10,1666
1,10,69
1,10,2937
1,10,1454
1,10,3385
1,10,2082
1,10,769
1,10,2143
1,10,779
1,10,1420
1,10,2735
1,10,32
1,10,1472
1,10,731
1,10,32
1,10,2629
1,10,1458
1,10,4043
1,10,1674
1,10,2776
1,10,739
1,10,4412
1,10,1586
1,10,4297
1,10,811
1,10,1562
1,10,3698
1,10,2217
1,10,1750
1,10,3653
1,10,1157
1,10,3322
1,10,3068
1,10,60
1,10,2813
1,10,1647
1,10,2615
1,10,3866
1,10,3392
1,10,954
1,10,1112
1,10,2547
1,10,1551
1,10,2225
1,10,849
1,10,2262
1,10,39
1,10,2909
1,10,2096
1,10,2736
1,10,2102
1,10,1994
1,10,3101
1,10,1107
1,10,1726
1,10,639
1,10,2910
1,10,2143
1,10,2031
1,10,40
1,10,2399
1,10,3960
1,10,1718
1,10,2430
1,10,2965
1,10,2132
1,10,1629
1,10,2084
1,10,3728
1,10,118
1,10,1062
1,10,5846
1,10,3776
1,10,917
1,10,1704
1,10,2921
1,10,732
1,10,898
1,10,2150
1,10,677
1,10,5840
1,10,3363
1,10,801
1,10,3962
1,10,938
1,10,887
1,10,51
1,10,835
1,10,1437
1,10,2130
1,15,3402
1,15,3851
1,15,2015
1,15,3182
1,15,3253
1,15,2191
1,15,2155
1,15,2819
1,15,2658
1,15,1379
1,15,3494
1,15,3336
1,15,2808
1,15,5354
1,15,5981
