step,m,time
1,5,16
1,5,18
1,5,22
1,5,16
1,5,16
1,5,18
1,5,17
1,5,17
1,5,17
1,5,17
1,5,16
1,5,16
1,5,16
1,5,17
1,5,17
1,5,17
1,5,17
1,5,17
1,5,20
1,5,22
1,5,16
1,5,16
1,5,17
1,5,17
1,5,16
1,5,16
1,5,23
1,5,17
1,5,27
1,5,19
1,5,22
1,5,16
1,5,16
1,5,17
1,5,17
1,5,28
1,5,17
1,5,16
1,5,17
1,5,24
1,5,19
1,5,16
1,5,22
1,5,22
1,5,17
1,5,16
1,5,16
1,5,18
1,5,18
1,5,15
1,5,23
1,5,17
1,5,18
1,5,17
1,5,16
1,5,17
1,5,17
1,5,16
1,5,22
1,5,17
1,5,17
1,5,23
1,5,17
1,5,14
1,5,17
1,5,17
1,5,18
1,5,16
1,5,16
1,5,16
1,5,17
1,5,16
1,5,17
1,5,17
1,5,22
1,5,17
1,5,17
1,5,17
1,5,17
1,5,16
1,5,16
1,5,21
1,5,16
1,5,16
1,5,18
1,5,23
1,5,17
1,5,16
1,5,22
1,5,17
1,5,17
1,5,17
1,5,16
1,5,17
1,5,15
1,5,16
1,5,16
1,5,16
1,5,22
1,5,16
1,10,32
1,10,33
1,10,39
1,10,29
1,10,30
1,10,30
1,10,28
1,10,33
1,10,38
1,10,27
1,10,29
1,10,28
1,10,34
1,10,35
1,10,28
1,10,33
1,10,27
1,10,28
1,10,32
1,10,32
1,10,27
1,10,30
1,10,28
1,10,28
1,10,27
1,10,39
1,10,32
1,10,39
1,10,32
1,10,26
1,10,27
1,10,28
1,10,28
1,10,27
1,10,27
1,10,27
1,10,29
1,10,28
1,10,27
1,10,29
1,10,28
1,10,28
1,10,27
1,10,33
1,10,29
1,10,27
1,10,27
1,10,27
1,10,28
1,10,28
1,10,29
1,10,34
1,10,44
1,10,34
1,10,27
1,10,30
1,10,27
1,10,27
1,10,28
1,10,29
1,10,28
1,10,28
1,10,30
1,10,28
1,10,29
1,10,29
1,10,28
1,10,28
1,10,29
1,10,30
1,10,28
1,10,33
1,10,28
1,10,34
1,10,28
1,10,34
1,10,26
1,10,30
1,10,36
1,10,28
1,10,29
1,10,32
1,10,32
1,10,33
1,10,40
1,10,35
1,10,26
1,10,33
1,10,28
1,10,34
1,10,31
1,10,28
1,10,28
1,10,33
1,10,32
1,10,29
1,10,33
1,10,27
1,10,34
1,10,28
1,15,44
1,15,42
1,15,48
1,15,54
1,15,61
1,15,57
1,15,38
1,15,40
1,15,44
1,15,40
1,15,37
1,15,39
1,15,37
1,15,37
1,15,37
1,15,38
1,15,38
1,15,39
1,15,41
1,15,41
1,15,37
1,15,43
1,15,38
1,15,39
1,15,43
1,15,44
1,15,39
1,15,41
1,15,40
1,15,37
1,15,38
1,15,39
1,15,37
1,15,38
1,15,40
1,15,40
1,15,44
1,15,44
1,15,49
1,15,39
1,15,44
1,15,44
1,15,48
1,15,49
1,15,38
1,15,39
1,15,44
1,15,39
1,15,39
1,15,40
1,15,41
1,15,39
1,15,38
1,15,38
1,15,39
1,15,38
1,15,42
1,15,42
1,15,42
1,15,49
1,15,48
1,15,42
1,15,39
1,15,38
1,15,38
1,15,37
1,15,37
1,15,38
1,15,37
1,15,44
1,15,43
1,15,44
1,15,38
1,15,36
1,15,38
1,15,45
1,15,40
1,15,37
1,15,40
1,15,39
1,15,38
1,15,40
1,15,39
1,15,43
1,15,38
1,15,40
1,15,36
1,15,39
1,15,40
1,15,38
1,15,39
1,15,38
1,15,44
1,15,49
1,15,38
1,15,38
1,15,47
1,15,37
1,15,38
1,15,44
1,20,52
1,20,55
1,20,58
1,20,50
1,20,48
1,20,49
1,20,49
1,20,61
1,20,54
1,20,57
1,20,60
1,20,50
1,20,49
1,20,47
1,20,58
1,20,51
1,20,49
1,20,52
1,20,48
1,20,50
1,20,50
1,20,54
1,20,48
1,20,50
1,20,55
1,20,51
1,20,54
1,20,50
1,20,56
1,20,56
1,20,51
1,20,55
1,20,53
1,20,59
1,20,61
1,20,50
1,20,51
1,20,51
1,20,49
1,20,52
1,20,49
1,20,54
1,20,45
1,20,58
1,20,55
1,20,49
1,20,54
1,20,57
1,20,62
1,20,45
1,20,50
1,20,51
1,20,51
1,20,54
1,20,47
1,20,55
1,20,55
1,20,49
1,20,50
1,20,61
1,20,54
1,20,50
1,20,58
1,20,48
1,20,49
1,20,55
1,20,45
1,20,53
1,20,55
1,20,50
1,20,48
1,20,49
1,20,52
1,20,47
1,20,50
1,20,51
1,20,54
1,20,60
1,20,53
1,20,52
1,20,64
1,20,51
1,20,48
1,20,59
1,20,51
1,20,55
1,20,48
1,20,45
1,20,46
1,20,49
1,20,53
1,20,48
1,20,61
1,20,49
1,20,48
1,20,55
1,20,51
1,20,52
1,20,53
1,20,47
1,25,72
1,25,63
1,25,60
1,25,72
1,25,69
1,25,66
1,25,61
1,25,60
1,25,72
1,25,60
1,25,66
1,25,60
1,25,66
1,25,61
1,25,60
1,25,66
1,25,60
1,25,74
1,25,58
1,25,72
1,25,70
1,25,73
1,25,68
1,25,59
1,25,61
1,25,67
1,25,66
1,25,68
1,25,61
1,25,65
1,25,66
1,25,61
1,25,61
1,25,59
1,25,69
1,25,70
1,25,59
1,25,64
1,25,53
1,25,65
1,25,61
1,25,66
1,25,76
1,25,61
1,25,64
1,25,60
1,25,76
1,25,61
1,25,71
1,25,74
1,25,62
1,25,65
1,25,61
1,25,74
1,25,61
1,25,61
1,25,61
1,25,75
1,25,61
1,25,58
1,25,60
1,25,63
1,25,65
1,25,66
1,25,61
1,25,65
1,25,64
1,25,60
1,25,70
1,25,71
1,25,64
1,25,64
1,25,69
1,25,60
1,25,69
1,25,67
1,25,62
1,25,60
1,25,64
1,25,60
1,25,58
1,25,63
1,25,67
