step,m,time
1,5,14
1,5,14
1,5,15
1,5,15
1,5,11
1,5,16
1,5,15
1,5,15
1,5,14
1,5,15
1,5,16
1,5,17
1,5,15
1,5,16
1,5,14
1,5,15
1,5,15
1,5,36
1,5,18
1,5,14
1,5,17
1,5,15
1,5,14
1,5,15
1,5,15
1,5,15
1,5,15
1,5,14
1,5,16
1,5,15
1,5,15
1,5,13
1,5,15
1,5,40
1,5,26
1,5,23
1,5,19
1,5,20
1,5,23
1,5,18
1,5,17
1,5,16
1,5,18
1,5,17
1,5,20
1,5,15
1,5,13
1,5,16
1,5,18
1,5,13
1,5,18
1,5,18
1,5,16
1,5,16
1,5,12
1,5,19
1,5,18
1,5,18
1,5,16
1,5,15
1,5,16
1,5,14
1,5,16
1,5,15
1,5,18
1,5,16
1,5,19
1,5,16
1,5,21
1,5,16
1,5,17
1,5,16
1,5,17
1,5,17
1,5,16
1,5,20
1,5,16
1,5,14
1,5,15
1,5,15
1,5,16
1,5,16
1,5,16
1,5,16
1,5,18
1,5,15
1,5,15
1,5,18
1,5,18
1,5,21
1,5,17
1,5,20
1,5,15
1,5,15
1,5,16
1,5,17
1,5,17
1,5,13
1,5,13
1,5,14
1,10,23
1,10,23
1,10,28
1,10,24
1,10,27
1,10,26
1,10,26
1,10,27
1,10,47
1,10,26
1,10,25
1,10,28
1,10,27
1,10,28
1,10,24
1,10,31
1,10,25
1,10,23
1,10,47
1,10,21
1,10,25
1,10,27
1,10,26
1,10,28
1,10,32
1,10,25
1,10,27
1,10,26
1,10,28
1,10,25
1,10,31
1,10,27
1,10,22
1,10,27
1,10,28
1,10,27
1,10,51
1,10,28
1,10,53
1,10,29
1,10,30
1,10,53
1,10,27
1,10,28
1,10,31
1,10,27
1,10,28
1,10,27
1,10,26
1,10,24
1,10,21
1,10,28
1,10,27
1,10,28
1,10,28
1,10,29
1,10,22
1,10,24
1,10,27
1,10,57
1,10,26
1,10,26
1,10,24
1,10,28
1,10,26
1,10,29
1,10,28
1,10,29
1,10,25
1,10,21
1,10,33
1,10,25
1,10,29
1,10,28
1,10,24
1,10,25
1,10,27
1,10,27
1,10,24
1,10,25
1,10,24
1,10,24
1,10,25
1,10,25
1,10,27
1,10,26
1,10,28
1,10,25
1,10,26
1,10,27
1,10,27
1,10,27
1,10,25
1,10,54
1,10,27
1,10,27
1,10,27
1,10,25
1,10,27
1,10,24
1,15,37
1,15,33
1,15,36
1,15,41
1,15,37
1,15,35
1,15,38
1,15,34
1,15,35
1,15,38
1,15,35
1,15,35
1,15,40
1,15,34
1,15,43
1,15,34
1,15,34
1,15,38
1,15,38
1,15,34
1,15,72
1,15,36
1,15,33
1,15,56
1,15,38
1,15,35
1,15,53
1,15,38
1,15,34
1,15,37
1,15,33
1,15,69
1,15,39
1,15,38
1,15,68
1,15,38
1,15,35
1,15,68
1,15,29
1,15,29
1,15,51
1,15,35
1,15,36
1,15,60
1,15,39
1,15,34
